kind,key,category,route,source
"builtin-page","finance/budget-planner","finance","/finance/budget-planner","src/app/finance/budget-planner/page.tsx"
"builtin-page","finance/car-loan-calculator","finance","/finance/car-loan-calculator","src/app/finance/car-loan-calculator/page.tsx"
"builtin-page","finance/churn-rate-calculator","finance","/finance/churn-rate-calculator","src/app/finance/churn-rate-calculator/page.tsx"
"builtin-page","finance/click-through-rate-calculator","finance","/finance/click-through-rate-calculator","src/app/finance/click-through-rate-calculator/page.tsx"
"builtin-page","finance/compound-interest-calculator","finance","/finance/compound-interest-calculator","src/app/finance/compound-interest-calculator/page.tsx"
"builtin-page","finance/cpc-cpm-calculator","finance","/finance/cpc-cpm-calculator","src/app/finance/cpc-cpm-calculator/page.tsx"
"builtin-page","finance/credit-card-payoff-calculator","finance","/finance/credit-card-payoff-calculator","src/app/finance/credit-card-payoff-calculator/page.tsx"
"builtin-page","finance/customer-lifetime-value-calculator","finance","/finance/customer-lifetime-value-calculator","src/app/finance/customer-lifetime-value-calculator/page.tsx"
"builtin-page","finance/discount-calculator","finance","/finance/discount-calculator","src/app/finance/discount-calculator/page.tsx"
"builtin-page","finance/dti-calculator","finance","/finance/dti-calculator","src/app/finance/dti-calculator/page.tsx"
"builtin-page","finance/emi-calculator","finance","/finance/emi-calculator","src/app/finance/emi-calculator/page.tsx"
"builtin-page","finance/employee-cost-calculator","finance","/finance/employee-cost-calculator","src/app/finance/employee-cost-calculator/page.tsx"
"builtin-page","finance/foreign-exchange-fee-calculator","finance","/finance/foreign-exchange-fee-calculator","src/app/finance/foreign-exchange-fee-calculator/page.tsx"
"builtin-page","finance/freelancer-rate-calculator","finance","/finance/freelancer-rate-calculator","src/app/finance/freelancer-rate-calculator/page.tsx"
"builtin-page","finance/gst-calculator","finance","/finance/gst-calculator","src/app/finance/gst-calculator/page.tsx"
"builtin-page","finance/invoice-generator","finance","/finance/invoice-generator","src/app/finance/invoice-generator/page.tsx"
"builtin-page","finance/loan-payoff-calculator","finance","/finance/loan-payoff-calculator","src/app/finance/loan-payoff-calculator/page.tsx"
"builtin-page","finance/london-business-startup-cost-calculator","finance","/finance/london-business-startup-cost-calculator","src/app/finance/london-business-startup-cost-calculator/page.tsx"
"builtin-page","finance/mortgage-calculator","finance","/finance/mortgage-calculator","src/app/finance/mortgage-calculator/page.tsx"
"builtin-page","finance/net-worth-calculator","finance","/finance/net-worth-calculator","src/app/finance/net-worth-calculator/page.tsx"
"builtin-page","finance/new-york-business-startup-cost-calculator","finance","/finance/new-york-business-startup-cost-calculator","src/app/finance/new-york-business-startup-cost-calculator/page.tsx"
"builtin-page","finance/payroll-tax-calculator","finance","/finance/payroll-tax-calculator","src/app/finance/payroll-tax-calculator/page.tsx"
"builtin-page","finance/percentage-calculator","finance","/finance/percentage-calculator","src/app/finance/percentage-calculator/page.tsx"
"builtin-page","finance/profit-margin-calculator","finance","/finance/profit-margin-calculator","src/app/finance/profit-margin-calculator/page.tsx"
"builtin-page","finance/roi-calculator","finance","/finance/roi-calculator","src/app/finance/roi-calculator/page.tsx"
"builtin-page","finance/salary-calculator","finance","/finance/salary-calculator","src/app/finance/salary-calculator/page.tsx"
"builtin-page","finance/salary-to-hourly-calculator","finance","/finance/salary-to-hourly-calculator","src/app/finance/salary-to-hourly-calculator/page.tsx"
"builtin-page","finance/savings-goal-calculator","finance","/finance/savings-goal-calculator","src/app/finance/savings-goal-calculator/page.tsx"
"builtin-page","finance/uae-gratuity-calculator","finance","/finance/uae-gratuity-calculator","src/app/finance/uae-gratuity-calculator/page.tsx"
"builtin-page","finance/uae-salary-calculator","finance","/finance/uae-salary-calculator","src/app/finance/uae-salary-calculator/page.tsx"
"builtin-page","finance/uae-visa-cost-calculator","finance","/finance/uae-visa-cost-calculator","src/app/finance/uae-visa-cost-calculator/page.tsx"
"builtin-page","finance/vat-calculator","finance","/finance/vat-calculator","src/app/finance/vat-calculator/page.tsx"
"builtin-page","health/age-grading-calculator","health","/health/age-grading-calculator","src/app/health/age-grading-calculator/page.tsx"
"builtin-page","health/blood-pressure-calculator","health","/health/blood-pressure-calculator","src/app/health/blood-pressure-calculator/page.tsx"
"builtin-page","health/bmr-calculator","health","/health/bmr-calculator","src/app/health/bmr-calculator/page.tsx"
"builtin-page","health/body-fat-calculator","health","/health/body-fat-calculator","src/app/health/body-fat-calculator/page.tsx"
"builtin-page","health/caffeine-calculator","health","/health/caffeine-calculator","src/app/health/caffeine-calculator/page.tsx"
"builtin-page","health/calorie-calculator","health","/health/calorie-calculator","src/app/health/calorie-calculator/page.tsx"
"builtin-page","health/calories-burned-calculator","health","/health/calories-burned-calculator","src/app/health/calories-burned-calculator/page.tsx"
"builtin-page","health/cycling-power-calculator","health","/health/cycling-power-calculator","src/app/health/cycling-power-calculator/page.tsx"
"builtin-page","health/glucose-converter","health","/health/glucose-converter","src/app/health/glucose-converter/page.tsx"
"builtin-page","health/golf-handicap-calculator","health","/health/golf-handicap-calculator","src/app/health/golf-handicap-calculator/page.tsx"
"builtin-page","health/ideal-weight-calculator","health","/health/ideal-weight-calculator","src/app/health/ideal-weight-calculator/page.tsx"
"builtin-page","health/intermittent-fasting-calculator","health","/health/intermittent-fasting-calculator","src/app/health/intermittent-fasting-calculator/page.tsx"
"builtin-page","health/macro-calculator","health","/health/macro-calculator","src/app/health/macro-calculator/page.tsx"
"builtin-page","health/marathon-predictor-calculator","health","/health/marathon-predictor-calculator","src/app/health/marathon-predictor-calculator/page.tsx"
"builtin-page","health/one-rep-max-calculator","health","/health/one-rep-max-calculator","src/app/health/one-rep-max-calculator/page.tsx"
"builtin-page","health/ovulation-calculator","health","/health/ovulation-calculator","src/app/health/ovulation-calculator/page.tsx"
"builtin-page","health/pregnancy-due-date-calculator","health","/health/pregnancy-due-date-calculator","src/app/health/pregnancy-due-date-calculator/page.tsx"
"builtin-page","health/running-pace-calculator","health","/health/running-pace-calculator","src/app/health/running-pace-calculator/page.tsx"
"builtin-page","health/sleep-calculator","health","/health/sleep-calculator","src/app/health/sleep-calculator/page.tsx"
"builtin-page","health/swim-pace-calculator","health","/health/swim-pace-calculator","src/app/health/swim-pace-calculator/page.tsx"
"builtin-page","health/vo2-max-calculator","health","/health/vo2-max-calculator","src/app/health/vo2-max-calculator/page.tsx"
"builtin-page","health/waist-to-hip-calculator","health","/health/waist-to-hip-calculator","src/app/health/waist-to-hip-calculator/page.tsx"
"builtin-page","health/water-intake-calculator","health","/health/water-intake-calculator","src/app/health/water-intake-calculator/page.tsx"
"builtin-page","real-estate/cap-rate-calculator","real-estate","/real-estate/cap-rate-calculator","src/app/real-estate/cap-rate-calculator/page.tsx"
"builtin-page","real-estate/closing-costs-calculator","real-estate","/real-estate/closing-costs-calculator","src/app/real-estate/closing-costs-calculator/page.tsx"
"builtin-page","real-estate/down-payment-calculator","real-estate","/real-estate/down-payment-calculator","src/app/real-estate/down-payment-calculator/page.tsx"
"builtin-page","real-estate/dubai-mortgage-registration-calculator","real-estate","/real-estate/dubai-mortgage-registration-calculator","src/app/real-estate/dubai-mortgage-registration-calculator/page.tsx"
"builtin-page","real-estate/dubai-property-transfer-fee-calculator","real-estate","/real-estate/dubai-property-transfer-fee-calculator","src/app/real-estate/dubai-property-transfer-fee-calculator/page.tsx"
"builtin-page","real-estate/dubai-service-charge-calculator","real-estate","/real-estate/dubai-service-charge-calculator","src/app/real-estate/dubai-service-charge-calculator/page.tsx"
"builtin-page","real-estate/home-buying-budget-calculator","real-estate","/real-estate/home-buying-budget-calculator","src/app/real-estate/home-buying-budget-calculator/page.tsx"
"builtin-page","real-estate/hong-kong-stamp-duty-calculator","real-estate","/real-estate/hong-kong-stamp-duty-calculator","src/app/real-estate/hong-kong-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/lease-escalation-calculator","real-estate","/real-estate/lease-escalation-calculator","src/app/real-estate/lease-escalation-calculator/page.tsx"
"builtin-page","real-estate/mortgage-refinance-calculator","real-estate","/real-estate/mortgage-refinance-calculator","src/app/real-estate/mortgage-refinance-calculator/page.tsx"
"builtin-page","real-estate/nyc-transfer-tax-calculator","real-estate","/real-estate/nyc-transfer-tax-calculator","src/app/real-estate/nyc-transfer-tax-calculator/page.tsx"
"builtin-page","real-estate/price-per-square-foot-calculator","real-estate","/real-estate/price-per-square-foot-calculator","src/app/real-estate/price-per-square-foot-calculator/page.tsx"
"builtin-page","real-estate/property-management-fee-calculator","real-estate","/real-estate/property-management-fee-calculator","src/app/real-estate/property-management-fee-calculator/page.tsx"
"builtin-page","real-estate/rent-affordability-calculator","real-estate","/real-estate/rent-affordability-calculator","src/app/real-estate/rent-affordability-calculator/page.tsx"
"builtin-page","real-estate/rent-vs-buy-calculator","real-estate","/real-estate/rent-vs-buy-calculator","src/app/real-estate/rent-vs-buy-calculator/page.tsx"
"builtin-page","real-estate/rental-cash-flow-calculator","real-estate","/real-estate/rental-cash-flow-calculator","src/app/real-estate/rental-cash-flow-calculator/page.tsx"
"builtin-page","real-estate/rental-yield-calculator","real-estate","/real-estate/rental-yield-calculator","src/app/real-estate/rental-yield-calculator/page.tsx"
"builtin-page","real-estate/scotland-lbtt-calculator","real-estate","/real-estate/scotland-lbtt-calculator","src/app/real-estate/scotland-lbtt-calculator/page.tsx"
"builtin-page","real-estate/security-deposit-calculator","real-estate","/real-estate/security-deposit-calculator","src/app/real-estate/security-deposit-calculator/page.tsx"
"builtin-page","real-estate/singapore-buyers-stamp-duty-calculator","real-estate","/real-estate/singapore-buyers-stamp-duty-calculator","src/app/real-estate/singapore-buyers-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/singapore-property-stamp-duty-calculator","real-estate","/real-estate/singapore-property-stamp-duty-calculator","src/app/real-estate/singapore-property-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/singapore-sellers-stamp-duty-calculator","real-estate","/real-estate/singapore-sellers-stamp-duty-calculator","src/app/real-estate/singapore-sellers-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/stamp-duty-calculator","real-estate","/real-estate/stamp-duty-calculator","src/app/real-estate/stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/uk-stamp-duty-calculator","real-estate","/real-estate/uk-stamp-duty-calculator","src/app/real-estate/uk-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/wales-ltt-calculator","real-estate","/real-estate/wales-ltt-calculator","src/app/real-estate/wales-ltt-calculator/page.tsx"
"builtin-page","construction/brick-block-quantity-calculator","construction","/construction/brick-block-quantity-calculator","src/app/construction/brick-block-quantity-calculator/page.tsx"
"builtin-page","construction/concrete-volume-calculator","construction","/construction/concrete-volume-calculator","src/app/construction/concrete-volume-calculator/page.tsx"
"builtin-page","construction/fence-material-calculator","construction","/construction/fence-material-calculator","src/app/construction/fence-material-calculator/page.tsx"
"builtin-page","construction/flooring-material-calculator","construction","/construction/flooring-material-calculator","src/app/construction/flooring-material-calculator/page.tsx"
"builtin-page","construction/gravel-mulch-volume-calculator","construction","/construction/gravel-mulch-volume-calculator","src/app/construction/gravel-mulch-volume-calculator/page.tsx"
"builtin-page","construction/paint-coverage-calculator","construction","/construction/paint-coverage-calculator","src/app/construction/paint-coverage-calculator/page.tsx"
"builtin-page","construction/roofing-material-calculator","construction","/construction/roofing-material-calculator","src/app/construction/roofing-material-calculator/page.tsx"
"builtin-page","construction/room-area-calculator","construction","/construction/room-area-calculator","src/app/construction/room-area-calculator/page.tsx"
